Station,Timestamp,GPP.mol_m2,GPP_err,fAPAR,PPFD.mol_m2,VPD.kPa,ALPHA,Tc.deg_C,CO2.ppm,Patm.Pa
AT-Neu,2002-04-01,13.7422,1.0477,0.2020,850.5937,0.0758,1.260,1.80,372.42,90555.01
AT-Neu,2002-05-01,13.8734,0.3734,0.2937,1075.2958,0.1222,1.260,7.80,372.42,90555.01
AT-Neu,2002-07-01,31.9412,1.3588,0.3942,1100.4189,0.2257,1.259,12.30,372.42,90555.01
AT-Neu,2002-09-01,17.0092,0.7976,0.3186,694.8536,0.1356,1.260,7.00,372.42,90555.01
AT-Neu,2002-11-01,2.9146,0.2693,0.1721,200.0822,0.0645,1.259,0.30,372.42,90555.01
AT-Neu,2003-05-01,30.9039,1.1130,0.2958,1108.2229,0.2846,1.259,8.90,374.97,90555.01
AT-Neu,2003-07-01,29.1388,1.3160,0.3493,1166.2441,0.1788,1.259,12.80,374.97,90555.01
AT-Neu,2003-08-01,25.4260,1.5676,0.3312,1085.2371,0.4636,1.260,15.20,374.97,90555.01
AT-Neu,2003-11-01,1.1111,0.0750,0.1582,261.8749,0.1109,1.259,2.10,374.97,90555.01
AT-Neu,2004-05-01,35.7521,1.5155,0.2187,1154.4360,0.1256,1.260,4.50,376.78,90555.01
AT-Neu,2004-07-01,28.8972,1.3099,0.3574,1069.8389,0.2410,1.259,11.60,376.78,90555.01
AT-Neu,2004-09-01,10.6219,1.9279,0.2933,813.4971,0.2140,1.259,9.20,376.78,90555.01
AT-Neu,2004-10-01,11.1044,0.8839,0.2722,537.4262,0.1917,1.259,6.20,376.78,90555.01
AU-Fog,2006-01-01,14.1773,1.0493,0.4439,1090.0311,0.7192,1.260,27.90,380.93,101034.99
AU-Fog,2006-02-01,13.8440,0.4337,0.4273,1559.8815,1.0486,1.260,29.00,380.93,101034.99
AU-Fog,2006-03-01,10.4758,0.3246,0.4164,1189.3063,0.7732,1.259,28.10,380.93,101034.99
AU-Fog,2006-04-01,7.1318,0.2868,0.3412,1268.4856,1.1556,1.260,27.70,380.93,101034.99
AU-Fog,2006-05-01,8.2256,0.2026,0.2923,1561.3934,1.3236,1.185,25.60,380.93,101034.99
AU-Fog,2006-06-01,6.5784,0.2399,0.2751,1354.0702,1.2031,0.612,22.60,380.93,101034.99
AU-Fog,2006-07-01,5.2725,0.2338,0.2459,1435.0791,1.1765,0.293,22.50,380.93,101034.99
AU-Fog,2006-12-01,5.2408,0.3147,0.3224,1455.8960,1.1424,1.079,28.80,380.93,101034.99
AU-How,2002-01-01,20.2466,2.1957,0.3043,1401.9018,0.9019,1.260,29.10,372.42,101255.33
AU-How,2002-02-01,16.7801,1.6384,0.2827,1091.1902,0.6774,1.260,27.80,372.42,101255.33
AU-How,2004-03-01,16.9222,1.4843,0.3436,1278.4506,0.6592,1.260,27.90,376.78,101255.33
AU-How,2004-04-01,11.3562,1.4187,0.3064,1505.0934,1.0366,1.230,28.20,376.78,101255.33
AU-How,2004-05-01,9.5863,0.4018,0.2734,1194.6925,1.1742,1.143,26.70,376.78,101255.33
AU-How,2004-06-01,10.2853,0.3491,0.2535,1302.1513,1.1318,0.638,23.30,376.78,101255.33
AU-How,2004-07-01,8.1293,0.4277,0.2335,1401.3324,1.2831,0.295,23.20,376.78,101255.33
AU-How,2004-11-01,10.5259,0.6975,0.2020,1385.2227,1.3266,0.628,30.00,376.78,101255.33
AU-How,2004-12-01,16.6017,1.1372,0.2750,1436.7021,1.0618,1.169,29.10,376.78,101255.33
AU-How,2005-01-01,20.6428,0.8462,0.3275,1432.5625,0.7640,1.259,28.50,378.81,101255.33
AU-How,2005-02-01,17.0291,0.6277,0.3423,1401.4129,0.7480,1.260,28.70,378.81,101255.33
AU-How,2005-03-01,16.2018,0.7631,0.3475,1379.2056,0.8153,1.260,28.60,378.81,101255.33
AU-How,2005-04-01,12.1485,0.6161,0.3210,1456.9501,1.0766,1.260,28.20,378.81,101255.33
AU-How,2005-05-01,8.9806,0.3779,0.2800,1444.1066,1.2925,0.823,26.20,378.81,101255.33
AU-How,2005-06-01,4.7599,0.4274,0.2521,1206.9758,1.2972,0.336,25.10,378.81,101255.33
AU-How,2005-07-01,4.9636,0.8041,0.2268,1330.5124,1.3963,0.246,25.20,378.81,101255.33
AU-How,2005-11-01,14.9521,1.3427,0.2178,1445.2375,1.2235,0.956,29.20,378.81,101255.33
AU-How,2005-12-01,17.3948,1.1542,0.3160,1361.9480,1.0724,1.259,28.80,378.81,101255.33
AU-How,2006-01-01,18.4925,1.1413,0.3742,967.6848,0.6892,1.260,27.90,380.93,101255.33
AU-How,2006-02-01,19.5690,0.9972,0.3516,1430.6200,0.8914,1.259,28.40,380.93,101255.33
AU-How,2006-03-01,17.8835,0.9014,0.3518,1085.9183,0.6140,1.259,27.60,380.93,101255.33
AU-How,2006-04-01,15.7118,1.8691,0.3048,1060.0244,0.8849,1.260,26.80,380.93,101255.33
AU-How,2006-05-01,9.7704,0.7284,0.2721,1290.0159,1.1663,1.207,25.20,380.93,101255.33
AU-How,2006-06-01,8.5266,0.2327,0.2696,1106.7930,1.2231,0.644,23.20,380.93,101255.33
AU-How,2006-07-01,7.1245,0.2680,0.2462,1157.0123,1.1889,0.294,23.00,380.93,101255.33
AU-How,2006-08-01,5.4918,0.4844,0.2391,1407.1973,1.1619,0.213,24.10,380.93,101255.33
AU-Tum,2002-01-01,21.9880,2.5864,0.3275,1772.8904,1.4443,0.350,17.40,372.42,88142.57
AU-Tum,2002-02-01,16.2203,1.8493,0.3342,1185.0446,1.1558,0.988,15.80,372.42,88142.57
AU-Tum,2002-03-01,20.3453,2.1839,0.3523,1455.4618,1.2129,1.148,15.60,372.42,88142.57
AU-Tum,2002-04-01,14.9117,1.6842,0.3435,972.6391,0.8029,1.049,13.20,372.42,88142.57
AU-Tum,2002-05-01,10.8928,0.9162,0.3442,630.9678,0.5130,1.245,7.30,372.42,88142.57
AU-Tum,2002-06-01,6.8317,0.2544,0.3565,518.7430,0.4045,1.260,4.70,372.42,88142.57
AU-Tum,2002-07-01,8.3687,0.8546,0.3354,629.1258,0.4178,1.259,3.90,372.42,88142.57
AU-Tum,2002-08-01,9.0437,0.9447,0.3060,855.7165,0.5262,1.260,5.70,372.42,88142.57
AU-Tum,2002-09-01,8.2347,0.7126,0.3152,1061.9090,0.5131,1.260,8.00,372.42,88142.57
AU-Tum,2002-10-01,12.6957,0.9920,0.3208,1476.6324,0.9101,1.254,10.80,372.42,88142.57
AU-Tum,2002-11-01,13.8834,1.8576,0.3090,1674.9993,1.2584,0.666,17.00,372.42,88142.57
AU-Tum,2002-12-01,18.0065,1.9250,0.2895,1835.4460,1.3233,0.334,17.60,372.42,88142.57
AU-Tum,2003-01-01,10.7080,0.3963,0.3004,1823.5358,1.6924,0.207,20.50,374.97,88142.57
AU-Tum,2003-02-01,16.0986,1.5217,0.2560,1455.2548,1.5382,0.379,20.20,374.97,88142.57
AU-Tum,2003-03-01,11.9735,1.5284,0.2610,1273.6188,1.1025,0.591,14.60,374.97,88142.57
AU-Tum,2003-04-01,6.3277,0.2219,0.2938,938.7535,0.6207,0.813,11.20,374.97,88142.57
AU-Tum,2003-05-01,6.9186,0.4361,0.2888,717.0713,0.5227,1.163,8.40,374.97,88142.57
AU-Tum,2003-06-01,4.8172,0.5711,0.3027,459.0024,0.3104,1.259,5.40,374.97,88142.57
AU-Tum,2003-07-01,5.3370,0.5913,0.3003,564.7147,0.3535,1.260,4.00,374.97,88142.57
AU-Tum,2003-08-01,3.8510,0.5742,0.2777,671.7955,0.3645,1.259,4.70,374.97,88142.57
AU-Tum,2003-11-01,8.1668,0.3302,0.3401,1739.4894,1.1564,1.257,14.40,374.97,88142.57
AU-Tum,2003-12-01,13.6425,1.6684,0.3303,1819.7297,1.3942,1.056,18.10,374.97,88142.57
